pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19,Sector 20,Sector 21,Sector 22,Sector 23,Sector 24,Sector 25,Sector 26,Sector 27,Sector 28,Sector 29,Sector 30,Sector 31,Sector 32,Sector 33,Sector 34,Sector 35,Sector 36,Sector 37,Sector 38,Sector 39,Sector 40,Sector 41,Sector 42,Sector 43,Sector 44,Sector 45,Sector 46,Sector 47,Sector 48,Sector 49,Sector 50,Sector 51,Sector 52,Sector 53,Sector 54,Sector 55,Sector 56,Sector 57,Sector 58,Sector 59,Sector 60,Sector 61,Sector 62,Sector 63,Sector 64,Sector 65,Sector 66,Sector 67,Sector 68,Sector 69,Sector 70,Sector 71,Sector 72,Sector 73,Sector 74,Sector 75,Sector 76,Sector 77,Sector 78,Sector 79,Sector 80,Sector 81,Sector 82,Sector 83,Sector 84,Sector 85,Sector 86,Sector 87,Sector 88,Sector 89,Sector 90,Sector 91,Sector 92,Sector 93,Sector 94,Sector 95,Sector 96,Sector 97,Sector 98,Sector 99,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Campaign 6,Campaign 7,Campaign 8,Campaign 9,Campaign 10,Campaign 11,Campaign 12,Campaign 13,Campaign 14,Campaign 15
21,280945693,5234117008292638464,,0.6363,,Lower Centaurus-Crux,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,TIC-280945693-10-FFI-30min,TIC-280945693-11-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-280945693-37-SPOC-120,TIC-280945693-38-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-280945693-64-SPOC-120,TIC-280945693-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,296790810,5236296171620605824,,0.3713,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,TIC-296790810-10-FFI-30min,TIC-296790810-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-296790810-37-FFI-10min,TIC-296790810-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-296790810-64-SPOC-120,TIC-296790810-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,290889135,5237270068366411392,,0.4835,0.3072,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,TIC-290889135-10-FFI-30min,TIC-290889135-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-290889135-37-FFI-10min,TIC-290889135-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-290889135-64-FFI-200s,TIC-290889135-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,301432612,5341919587915807616,,0.5044,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,TIC-301432612-10-FFI-30min,TIC-301432612-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-301432612-37-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-301432612-64-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,93763678,5345273648130813696,,0.9156,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,TIC-93763678-10-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-93763678-64-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-93763678-90-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,
26,448002486,5856059166484152320,,0.3593,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-448002486-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-448002486-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-448002486-64-SPOC-120,TIC-448002486-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,328468855,5856567140866125440,,1.862,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-328468855-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-328468855-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-328468855-64-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,435899024,5861945711251717888,,0.3634,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-435899024-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-435899024-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-435899024-64-SPOC-120,TIC-435899024-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,973449111,5868286560427916160,,0.621,,UCL/LCC,16,Stauffer_2021,Stauffer,2021,,,,,,,,,,,TIC-973449111-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-973449111-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-973449111-64-SPOC-120,TIC-973449111-65-SPOC-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,309321971,5901773217829654912,,0.6314,,UCL/LCC,16,Rebull_2022,Rebull,2022,,,,,,,,,,,TIC-309321971-11-FFI-30min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-309321971-38-FFI-10min,,,,,,,,,,,,,,,,,,,,,,,,,,,TIC-309321971-65-FFI-200s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
