pop_id,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author,year,tess_sectors,K2_campaign
26,448002486,5856059166484152320,,0.3593,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 65 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 65 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
27,328468855,5856567140866125440,,1.862,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
28,435899024,5861945711251717888,,0.3634,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 120s TESS Sector 65 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
29,973449111,5868286560427916160,,0.621,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 64 SPOC 20s TESS Sector 65 SPOC 20s TESS Sector 64 SPOC 120s TESS Sector 65 SPOC 120s TESS Sector 64 TESS-SPOC 200s TESS Sector 65 TESS-SPOC 200s TESS Sector 38 QLP 600s TESS Sector 64 QLP 200s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s ,
30,309321971,5901773217829654912,,0.6314,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 11 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
31,254612758,5988925319818253696,,0.5939,,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,TESS Sector 65 SPOC 20s TESS Sector 65 SPOC 120s TESS Sector 65 TESS-SPOC 200s TESS Sector 12 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 12 CDIPS 1800s TESS Sector 12 GSFC-ELEANOR-LITE 1800s TESS Sector 38 CDIPS 1800s ,
32,364291454,5996407565146180992,,0.3495,0.406,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 12 QLP 1800s TESS Sector 12 CDIPS 1800s TESS Sector 12 GSFC-ELEANOR-LITE 1800s ,
33,147828926,5999293989334501888,,0.4973,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 12 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 12 CDIPS 1800s TESS Sector 12 GSFC-ELEANOR-LITE 1800s TESS Sector 38 CDIPS 1800s ,
34,176205621,6001888939853401728,,0.4258,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 12 QLP 1800s TESS Sector 38 QLP 600s TESS Sector 65 QLP 200s TESS Sector 12 CDIPS 1800s TESS Sector 12 GSFC-ELEANOR-LITE 1800s TESS Sector 38 CDIPS 1800s ,
35,276502773,6004379539837518080,,0.5553,,UCL/LCC,16.0,Rebull_2022,Rebull,2022,TESS Sector 65 QLP 200s TESS Sector 11 CDIPS 1800s TESS Sector 11 GSFC-ELEANOR-LITE 1800s TESS Sector 11 TGLC 1800s TESS Sector 38 CDIPS 1800s ,
