TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,discovery_paper_author,discovery_paper_year,g_absmag,phot_g_mean_mag,phot_g_mean_flux_over_error,bp_absmag,phot_bp_mean_mag,phot_bp_mean_flux_over_error,rp_absmag,phot_rp_mean_mag,phot_rp_mean_flux_over_error,ra,ra_error,dec,dec_error,parallax,parallax_error,ruwe
12659333,6237069013821425408,204066898,0.3956,0.5386,Upper Scorpius,10.0,Stauffer,2017,8.762816156681087,14.224256,803.2726,10.460157156681086,15.921597,191.63301,7.510899156681086,12.972339,378.29996,239.650836555846,0.027823033,-23.800667000452663,0.021222662,8.085595878833814,0.034859903,1.502884
49072492,6242145626506129664,204117263,0.6423,,Upper Scorpius,10.0,Stauffer,2017,9.635909508013157,15.320228,782.57935,11.635206508013155,17.319525,127.20822,8.311085508013157,13.995404,327.53748,242.75877100180963,0.040038858,-23.597485617047663,0.023928262,7.296864835336202,0.044640016,1.1669052
49198167,6242649340270424704,204367193,0.4835,,Upper Scorpius,10.0,Stauffer,2017,12.520974257424804,18.291615,310.94885,15.191582257424804,20.962223,9.3548565,11.062619257424805,16.83326,105.243256,242.97660775564657,0.23470502,-22.613757580453104,0.16605881,7.012483485327592,0.24974503,1.0160235
49518818,6245595108015533824,205110559,0.4031,,Upper Scorpius,10.0,Stauffer,2017,9.623051198357915,15.295799,846.72424,11.817008198357916,17.489756,84.41786,8.261904198357916,13.934652,331.9525,243.83204735351129,0.04552021,-19.352129420164463,0.026417539,7.335849952155242,0.048775177,1.178794
220765024,6246944689821248128,204918279,0.4665,0.4594,Upper Scorpius,10.0,Stauffer,2017,,14.801647,97.49508,,16.495752,239.00494,,13.031375,529.337,239.10456230171408,5.899207,-20.27118593014593,3.8308744,,,
9669706,6247083125210430080,204897050,0.2639,,Upper Scorpius,10.0,Stauffer,2017,9.893735294362566,15.615209,677.45355,12.166872294362564,17.888346,102.32672,8.507133294362566,14.228607,219.0111,240.4206950239657,0.0697751,-20.369017437115826,0.035402697,7.173073135794243,0.07373509,1.2985101
280945693,5234117008292638464,,0.6363,,Lower Centaurus-Crux,16.0,Stauffer,2021,8.484367597239405,13.450549,799.8202,10.192527597239405,15.158709,171.65584,7.226213597239404,12.192395,305.6209,174.06969017573073,0.0140277045,-69.46431784503775,0.0130687095,10.156959469695384,0.015580046,1.1615247
296790810,5236296171620605824,,0.3713,,UCL/LCC,16.0,Stauffer,2021,8.595555095208361,13.7255125,662.1501,10.40357259520836,15.53353,174.18153,7.30944859520836,12.439406,245.00838,176.60696561645332,0.022895241,-66.69314473735476,0.022864128,9.419080726392943,0.02711085,1.9867646
290889135,5237270068366411392,,0.4835,0.3072,UCL/LCC,16.0,Rebull,2022,7.692353936766343,12.785272,380.7253,9.057560936766343,14.150479,84.18051,6.528429936766342,11.621348,148.06961,173.9842259277706,0.08328232,-65.5033821431924,0.09380033,9.581122377658312,0.10566385,8.890847
301432612,5341919587915807616,,0.5044,,UCL/LCC,16.0,Stauffer,2021,8.681922909368073,13.850112,710.563,10.204725909368074,15.372915,149.71925,7.473969409368074,12.6421585,287.78815,178.51962164382067,0.01071281,-58.044739411999544,0.010922208,9.2546965186246,0.014126481,1.143178
93763678,5345273648130813696,,0.9156,,UCL/LCC,16.0,Rebull,2022,10.1424202984824,15.416855,1167.0059,11.9802952984824,17.25473,133.34155,8.851008298482402,14.125443,494.54202,175.84339418088027,0.022054074,-53.45319140117892,0.019797675,8.812782659413871,0.029304218,1.0756918
