nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name
28,50745567,3216729878197029120,thor,3,32,SPOC-120,TIC-50745567-32-SPOC-120
31,50745533,3216753556349327232,thor,3,32,FFI-10min,TIC-50745533-32-FFI-10min
1,350559457,4767439021687332096,car,45,33,SPOC-120,TIC-350559457-33-SPOC-120
11,158817023,3319628434087776000,thor,3,33,FFI-10min,TIC-158817023-33-FFI-10min
1,350559457,4767439021687332096,car,45,34,SPOC-120,TIC-350559457-34-SPOC-120
1,350559457,4767439021687332096,car,45,35,SPOC-120,TIC-350559457-35-SPOC-120
55,71029363,,twa,8,35,SPOC-120,TIC-71029363-35-SPOC-120
1,350559457,4767439021687332096,car,45,36,SPOC-120,TIC-350559457-36-SPOC-120
33,152176559,5396105586807802880,twa,5,36,SPOC-120,TIC-152176559-36-SPOC-120
34,429152614,3485098646237003136,twa,7,36,SPOC-120,TIC-429152614-36-SPOC-120
35,57513388,5398663566249861120,twa,6,36,SPOC-120,TIC-57513388-36-SPOC-120
36,29847084,5400050222210919680,twa,7,36,FFI-10min,TIC-29847084-36-FFI-10min
37,23325655,5452498541764280832,twa,5,36,SPOC-120,TIC-23325655-36-SPOC-120
38,20414865,3532218595001808768,twa,5,36,SPOC-120,TIC-20414865-36-SPOC-120
39,429152610,3485098646237003392,twa,7,36,SPOC-120,TIC-429152610-36-SPOC-120
43,272349442,5355751581627180288,twa,8,36,SPOC-120,TIC-272349442-36-SPOC-120
47,188172972,5470330146463996032,twa,5,36,FFI-10min,TIC-188172972-36-FFI-10min
52,54147487,5444751795151480320,twa,6,36,SPOC-120,TIC-54147487-36-SPOC-120
55,71029363,,twa,8,36,SPOC-120,TIC-71029363-36-SPOC-120
56,180258068,3567379121431731328,twa,4,36,SPOC-120,TIC-180258068-36-SPOC-120
58,102462453,5414158429569765632,twa,6,36,FFI-10min,TIC-102462453-36-FFI-10min
59,151764983,,twa,7,36,SPOC-120,TIC-151764983-36-SPOC-120
1,350559457,4767439021687332096,car,45,37,SPOC-120,TIC-350559457-37-SPOC-120
4,454335224,5227840175588831744,epsc,6,37,FFI-10min,TIC-454335224-37-FFI-10min
5,410981941,5233403459606590720,epsc,6,37,FFI-10min,TIC-410981941-37-FFI-10min
40,130722957,,twa,4,37,SPOC-120,TIC-130722957-37-SPOC-120
41,144221008,6147117722735170176,twa,4,37,FFI-10min,TIC-144221008-37-FFI-10min
42,142391477,3466308095597260032,twa,6,37,SPOC-120,TIC-142391477-37-SPOC-120
43,272349442,5355751581627180288,twa,8,37,SPOC-120,TIC-272349442-37-SPOC-120
44,144221039,6147119548096085376,twa,5,37,FFI-10min,TIC-144221039-37-FFI-10min
45,144155582,6146107993101452160,twa,5,37,SPOC-120,TIC-144155582-37-SPOC-120
46,134976537,6151330196594603648,twa,6,37,FFI-10min,TIC-134976537-37-FFI-10min
48,404012623,6128493718050020096,twa,7,37,SPOC-120,TIC-404012623-37-SPOC-120
49,404012628,6128493752409759744,twa,7,37,FFI-10min,TIC-404012628-37-FFI-10min
50,91474691,5348165127505382400,twa,7,37,FFI-10min,TIC-91474691-37-FFI-10min
51,72564426,6132146982868270976,twa,6,37,SPOC-120,TIC-72564426-37-SPOC-120
53,389253973,5378040370245563008,twa,7,37,FFI-10min,TIC-389253973-37-FFI-10min
54,142173958,3465944500845668224,twa,5,37,SPOC-120,TIC-142173958-37-SPOC-120
57,345135733,3463395519358168064,twa,6,37,SPOC-120,TIC-345135733-37-SPOC-120
1,350559457,4767439021687332096,car,45,38,SPOC-120,TIC-350559457-38-SPOC-120
2,360558208,5838713408461840256,epsc,7,38,FFI-10min,TIC-360558208-38-FFI-10min
3,327549481,5855642348500099072,epsc,7,38,FFI-10min,TIC-327549481-38-FFI-10min
4,454335224,5227840175588831744,epsc,6,38,FFI-10min,TIC-454335224-38-FFI-10min
5,410981941,5233403459606590720,epsc,6,38,FFI-10min,TIC-410981941-38-FFI-10min
60,243412695,6111552614685208064,twa,4,38,FFI-10min,TIC-243412695-38-FFI-10min
1,350559457,4767439021687332096,car,45,39,FFI-10min,TIC-350559457-39-FFI-10min
2,360558208,5838713408461840256,epsc,7,39,FFI-10min,TIC-360558208-39-FFI-10min
16,389248164,3341538436653898240,thor,7,43,FFI-10min,TIC-389248164-43-FFI-10min
18,389248318,3341556922194703232,thor,7,43,SPOC-120,TIC-389248318-43-SPOC-120
23,302417241,,thor,7,43,SPOC-120,TIC-302417241-43-SPOC-120
