pop_id,lcname,idtype,ID,secorcamp,author,cadence,fluxamplitude
29,TIC-973449111-38-FFI-10min,TIC,973449111,38,FFI,10min,0.006684162925836623
29,TIC-973449111-64-SPOC-120,TIC,973449111,64,SPOC,120,0.07278004884719835
29,TIC-973449111-65-SPOC-120,TIC,973449111,65,SPOC,120,0.06606926918029776
30,TIC-309321971-11-FFI-30min,TIC,309321971,11,FFI,30min,0.018790688651654786
30,TIC-309321971-38-FFI-10min,TIC,309321971,38,FFI,10min,0.020248814686205208
30,TIC-309321971-65-FFI-200s,TIC,309321971,65,FFI,200s,0.017097608408919718
31,TIC-254612758-12-FFI-30min,TIC,254612758,12,FFI,30min,0.010899130659841716
31,TIC-254612758-38-FFI-10min,TIC,254612758,38,FFI,10min,0.010809437607286365
31,TIC-254612758-65-SPOC-120,TIC,254612758,65,SPOC,120,0.042815798521042
32,TIC-364291454-12-FFI-30min,TIC,364291454,12,FFI,30min,0.02420908521204357
33,TIC-147828926-12-FFI-30min,TIC,147828926,12,FFI,30min,0.056221175822209646
33,TIC-147828926-38-FFI-10min,TIC,147828926,38,FFI,10min,0.06479287245611098
33,TIC-147828926-65-FFI-200s,TIC,147828926,65,FFI,200s,0.03968654704244223
34,TIC-176205621-12-FFI-30min,TIC,176205621,12,FFI,30min,0.030512813041090325
34,TIC-176205621-38-FFI-10min,TIC,176205621,38,FFI,10min,0.027254161218061235
34,TIC-176205621-65-FFI-200s,TIC,176205621,65,FFI,200s,0.019620432039239355
35,TIC-276502773-11-FFI-30min,TIC,276502773,11,FFI,30min,0.0129411335430204
35,TIC-276502773-38-FFI-10min,TIC,276502773,38,FFI,10min,0.009165020993775252
35,TIC-276502773-65-FFI-200s,TIC,276502773,65,FFI,200s,0.016111214959046882
36,TIC-99207324-12-FFI-30min,TIC,99207324,12,FFI,30min,0.017009492639515678
36,TIC-99207324-38-FFI-10min,TIC,99207324,38,FFI,10min,0.017161098345165993
36,TIC-99207324-65-SPOC-120,TIC,99207324,65,SPOC,120,0.11520594358444214
37,TIC-310720311-11-FFI-30min,TIC,310720311,11,FFI,30min,0.056573645441576614
37,TIC-310720311-37-FFI-10min,TIC,310720311,37,FFI,10min,0.09878152717195177
37,TIC-310720311-38-FFI-10min,TIC,310720311,38,FFI,10min,0.10681112371209067
37,TIC-310720311-64-SPOC-120,TIC,310720311,64,SPOC,120,0.22305301427841173
37,TIC-310720311-65-SPOC-120,TIC,310720311,65,SPOC,120,0.19644056558609002
38,TIC-405970436-11-FFI-30min,TIC,405970436,11,FFI,30min,0.020539933548989864
38,TIC-405970436-37-FFI-10min,TIC,405970436,37,FFI,10min,0.012918203858915733
38,TIC-405970436-38-FFI-10min,TIC,405970436,38,FFI,10min,0.015845714360663954
38,TIC-405970436-64-FFI-200s,TIC,405970436,64,FFI,200s,0.01895238730105553
38,TIC-405970436-65-FFI-200s,TIC,405970436,65,FFI,200s,0.015205976743740468
39,TIC-406040223-11-FFI-30min,TIC,406040223,11,FFI,30min,0.05094865130214643
39,TIC-406040223-37-FFI-10min,TIC,406040223,37,FFI,10min,0.025436793530726032
39,TIC-406040223-38-FFI-10min,TIC,406040223,38,FFI,10min,0.0291946051665668
39,TIC-406040223-64-SPOC-120,TIC,406040223,64,SPOC,120,0.2544753432273864
39,TIC-406040223-65-SPOC-120,TIC,406040223,65,SPOC,120,0.2404993176460266
