pop_id,lcname,complex_status
113,TIC-359892714-65-SPOC-120,Complex
114,TIC-335598085-11-SPOC-120,Complex
114,TIC-335598085-64-SPOC-120,Complex
114,TIC-335598085-65-SPOC-120,Complex
115,TIC-442571495-12-SPOC-120,Complex
115,TIC-442571495-38-SPOC-120,Complex
115,TIC-442571495-65-FFI-200s,Complex
115,TIC-442571495-91-FFI-200s,
116,EPIC-202724025-2-EVEREST-1800,Complex
116,EPIC-202724025-2-K2SFF-1800,Complex
116,TIC-67897871-12-SPOC-120,Complex
116,TIC-67897871-65-FFI-200s,Complex
116,TIC-67897871-91-SPOC-120,Complex
117,TIC-405754448-11-SPOC-120,Complex
117,TIC-405754448-37-SPOC-120,Complex
117,TIC-405754448-38-SPOC-120,Complex
117,TIC-405754448-64-FFI-200s,Complex
117,TIC-405754448-65-FFI-200s,Complex
118,TIC-405910546-11-FFI-30min,Double Dip
118,TIC-405910546-37-SPOC-120,Complex
118,TIC-405910546-38-SPOC-120,Double Dip
118,TIC-405910546-64-FFI-200s,Not Complex
119,TIC-404144841-11-SPOC-120,Complex
119,TIC-404144841-37-SPOC-120,Complex
119,TIC-404144841-38-SPOC-120,Complex
119,TIC-404144841-64-SPOC-120,Complex
12,EPIC-203185083-2-EVEREST-1800,Complex
12,EPIC-203185083-2-K2SFF-1800,Complex
12,TIC-205060766-91-SPOC-120,Complex
120,TIC-312410638-11-FFI-30min,Complex
120,TIC-312410638-38-SPOC-120,Complex
120,TIC-312410638-65-FFI-200s,Complex
121,TIC-167664935-11-FFI-30min,Double Dip
121,TIC-167664935-38-SPOC-120,Double Dip
121,TIC-167664935-65-FFI-200s,Double Dip
122,TIC-89026133-11-FFI-30min,Complex
122,TIC-89026133-38-SPOC-120,Complex
122,TIC-89026133-65-FFI-200s,Complex
123,TIC-272248916-11-SPOC-120,Complex
123,TIC-272248916-38-SPOC-120,Double Dip
123,TIC-272248916-65-FFI-200s,Double Dip
124,TIC-440725886-42-SPOC-120,Complex
124,TIC-440725886-43-SPOC-120,Complex
124,TIC-440725886-44-SPOC-120,Complex
124,TIC-440725886-70-SPOC-120,Complex
124,TIC-440725886-71-SPOC-120,Complex
125,TIC-234295610-1-SPOC-120,Complex
125,TIC-234295610-28-SPOC-120,Complex
125,TIC-234295610-68-FFI-200s,Complex
126,TIC-224283342-2-SPOC-120,Complex
126,TIC-224283342-29-SPOC-120,Complex
126,TIC-224283342-69-SPOC-120,Complex
127,TIC-289840926-1-SPOC-120,Complex
127,TIC-289840926-28-SPOC-120,Complex
127,TIC-289840926-68-FFI-200s,Complex
127,TIC-289840926-92-SPOC-120,Complex
128,TIC-141146667-14-FFI-30min,Double Dip
128,TIC-141146667-15-FFI-30min,Complex
128,TIC-141146667-21-FFI-30min,Double Dip
128,TIC-141146667-41-SPOC-120,Complex
128,TIC-141146667-48-SPOC-120,Complex
128,TIC-141146667-75-SPOC-120,Complex
129,EPIC-204364515-15-EVEREST-1800,Complex
129,EPIC-204364515-15-K2SFF-1800,Complex
129,EPIC-204364515-2-EVEREST-1800,Complex
129,EPIC-204364515-2-K2SFF-1800,Complex
129,TIC-12779416-91-FFI-200s,Complex
13,EPIC-203534383-2-EVEREST-1800,Complex
13,EPIC-203534383-2-K2SFF-1800,Complex
13,TIC-68502886-91-SPOC-120,Complex
130,EPIC-203849738-2-EVEREST-1800,Complex
130,EPIC-203849738-2-K2SFF-1800,Complex
130,TIC-68045555-91-SPOC-120,Complex
131,EPIC-203692610-2-K2SFF-1800,Complex
131,EPIC-203692610-2-K2SFF-1800,Complex
131,TIC-68131578-91-SPOC-120,Complex
132,EPIC-205374937-2-EVEREST-1800,Complex
132,EPIC-205374937-2-K2SFF-1800,Complex
132,TIC-49165224-91-SPOC-120,Complex
133,EPIC-202873945-2-EVEREST-1800,Complex
133,EPIC-202873945-2-K2SFF-1800,Complex
133,TIC-391993423-12-FFI-30min,Complex
133,TIC-391993423-39-FFI-10min,Complex
133,TIC-391993423-91-SPOC-120,Complex
134,EPIC-204296148-2-EVEREST-1800,Complex
134,EPIC-204296148-2-K2SFF-1800,Complex
134,TIC-203444707-91-SPOC-120,Complex
135,EPIC-203962559-2-EVEREST-1800,Complex
135,EPIC-203962559-2-K2SFF-1800,Complex
135,TIC-175597010-91-SPOC-120,Complex
136,EPIC-203927435-2-EVEREST-1800,Complex
136,EPIC-203927435-2-K2SFF-1800,Complex
136,TIC-175861088-91-SPOC-120,Complex
137,EPIC-205024957-2-EVEREST-1800,Complex
137,EPIC-205024957-2-K2SFF-1800,Complex
137,TIC-49040989-91-FFI-200s,Complex
138,EPIC-205046529-2-EVEREST-1800,Complex
138,EPIC-205046529-2-K2SFF-1800,Complex
138,TIC-49040871-91-FFI-200s,Double Dip
139,EPIC-204143627-2-EVEREST-1800,Complex
