pop_id,lcname,idtype,ID,secorcamp,LC_author,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,group,age_Myr,disco_paper,paper_author,year,Score,Flare,Shelf,Evolution,Notes,per_col
15,TIC-12659333-91-SPOC-120,TIC,12659333,91,SPOC,120,0.0456411,12659333,6237069013821425408,204066898,0.3956,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,1,,one
16,EPIC-204117263-2-K2SFF-1800,EPIC,204117263,2,K2SFF,1800,0.069436498,49072492,6242145626506129664,204117263,0.6423,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,1,,one
16,TIC-49072492-91-SPOC-120,TIC,49072492,91,SPOC,120,0.068634629,49072492,6242145626506129664,204117263,0.6423,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,0,,one
17,EPIC-204367193-2-K2SFF-1800,EPIC,204367193,2,K2SFF,1800,0.119295297,49198167,6242649340270424704,204367193,0.4835,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,,one
17,TIC-49198167-91-SPOC-120,TIC,49198167,91,SPOC,120,0.7244858086,49198167,6242649340270424704,204367193,0.4835,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,1,0,0,0,Very noisy,one
18,EPIC-205110559-2-K2SFF-1800,EPIC,205110559,2,K2SFF,1800,0.040588929,49518818,6245595108015533824,205110559,0.4031,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,1,1,,one
18,TIC-49518818-91-SPOC-120,TIC,49518818,91,SPOC,120,0.049883193,49518818,6245595108015533824,205110559,0.4031,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,1,,one
19,EPIC-204918279-2-K2SFF-1800,EPIC,204918279,2,K2SFF,1800,0.01735832,220765024,6246944689821248128,204918279,0.4665,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,1,0,1,,one
20,EPIC-204897050-2-K2SFF-1800,EPIC,204897050,2,K2SFF,1800,0.086602379,9669706,6247083125210430080,204897050,0.2639,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,Long term darkening trend,one
20,TIC-9669706-91-SPOC-120,TIC,9669706,91,SPOC,120,0.1072106183,9669706,6247083125210430080,204897050,0.2639,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,2,0,0,0,,one
21,TIC-280945693-11-SPOC-120,TIC,280945693,11,SPOC,120,0.045772517,280945693,5234117008292638464,,0.6363,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,,one
21,TIC-280945693-37-SPOC-120,TIC,280945693,37,SPOC,120,0.047525901,280945693,5234117008292638464,,0.6363,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,2,2,0,0,,one
21,TIC-280945693-38-SPOC-120,TIC,280945693,38,SPOC,120,0.0493698,280945693,5234117008292638464,,0.6363,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
21,TIC-280945693-64-SPOC-120,TIC,280945693,64,SPOC,120,0.071928382,280945693,5234117008292638464,,0.6363,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,1,0,0,0,,one
21,TIC-280945693-65-SPOC-120,TIC,280945693,65,SPOC,120,0.071524382,280945693,5234117008292638464,,0.6363,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,1,0,0,1,,one
22,TIC-296790810-10-FFI-30min,TIC,296790810,10,FFI,30min,0.019026377,296790810,5236296171620605824,,0.3713,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,Literature period slightly off?,one
22,TIC-296790810-11-FFI-30min,TIC,296790810,11,FFI,30min,0.032323483,296790810,5236296171620605824,,0.3713,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,2,0,1,,one
22,TIC-296790810-37-FFI-10min,TIC,296790810,37,FFI,10min,0.028301513,296790810,5236296171620605824,,0.3713,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,Literature period definitely slightly off,one
22,TIC-296790810-38-FFI-10min,TIC,296790810,38,FFI,10min,0.023582135,296790810,5236296171620605824,,0.3713,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,1,0,,one
22,TIC-296790810-64-SPOC-120,TIC,296790810,64,SPOC,120,0.083885491,296790810,5236296171620605824,,0.3713,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
22,TIC-296790810-65-SPOC-120,TIC,296790810,65,SPOC,120,0.1122136354,296790810,5236296171620605824,,0.3713,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
23,TIC-290889135-10-FFI-30min,TIC,290889135,10,FFI,30min,0.061266827,290889135,5237270068366411392,,0.4835,UCL/LCC,16.0,Rebull_2022,Rebull,2022,0,0,0,0,,one
23,TIC-290889135-11-FFI-30min,TIC,290889135,11,FFI,30min,0.063381531,290889135,5237270068366411392,,0.4835,UCL/LCC,16.0,Rebull_2022,Rebull,2022,0,1,0,0,,one
23,TIC-290889135-37-FFI-10min,TIC,290889135,37,FFI,10min,0.045581486,290889135,5237270068366411392,,0.4835,UCL/LCC,16.0,Rebull_2022,Rebull,2022,0,0,0,0,,one
23,TIC-290889135-38-FFI-10min,TIC,290889135,38,FFI,10min,0.046363099,290889135,5237270068366411392,,0.4835,UCL/LCC,16.0,Rebull_2022,Rebull,2022,0,1,0,0,Literature period perhaps slightly off,one
23,TIC-290889135-64-FFI-200s,TIC,290889135,64,FFI,200s,0.056273203,290889135,5237270068366411392,,0.4835,UCL/LCC,16.0,Rebull_2022,Rebull,2022,1,2,1,0,,one
23,TIC-290889135-65-FFI-200s,TIC,290889135,65,FFI,200s,0.048330388,290889135,5237270068366411392,,0.4835,UCL/LCC,16.0,Rebull_2022,Rebull,2022,1,2,0,0,,one
24,TIC-301432612-10-FFI-30min,TIC,301432612,10,FFI,30min,0.04142722,301432612,5341919587915807616,,0.5044,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
24,TIC-301432612-11-FFI-30min,TIC,301432612,11,FFI,30min,0.038305252,301432612,5341919587915807616,,0.5044,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
24,TIC-301432612-37-FFI-10min,TIC,301432612,37,FFI,10min,0.041736317,301432612,5341919587915807616,,0.5044,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
25,TIC-93763678-10-FFI-30min,TIC,93763678,10,FFI,30min,0.009288064,93763678,5345273648130813696,,0.9156,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,0,1,,one
25,TIC-93763678-64-FFI-200s,TIC,93763678,64,FFI,200s,0.014700071,93763678,5345273648130813696,,0.9156,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,1,1,1,,one
25,TIC-93763678-90-FFI-200s,TIC,93763678,90,FFI,200s,0.013488574,93763678,5345273648130813696,,0.9156,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,0,0,,one
26,TIC-448002486-11-FFI-30min,TIC,448002486,11,FFI,30min,0.023532872,448002486,5856059166484152320,,0.3593,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
26,TIC-448002486-38-FFI-10min,TIC,448002486,38,FFI,10min,0.034181041,448002486,5856059166484152320,,0.3593,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,1,1,,one
26,TIC-448002486-64-SPOC-120,TIC,448002486,64,SPOC,120,0.1178903341,448002486,5856059166484152320,,0.3593,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,,one
26,TIC-448002486-65-SPOC-120,TIC,448002486,65,SPOC,120,0.115639019,448002486,5856059166484152320,,0.3593,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,1,0,0,,one
27,TIC-328468855-11-FFI-30min,TIC,328468855,11,FFI,30min,0.011557686,328468855,5856567140866125440,,1.862,UCL/LCC,16.0,Rebull_2022,Rebull,2022,1,0,1,1,,one
27,TIC-328468855-38-FFI-10min,TIC,328468855,38,FFI,10min,0.018729869,328468855,5856567140866125440,,1.862,UCL/LCC,16.0,Rebull_2022,Rebull,2022,2,0,1,1,,one
27,TIC-328468855-64-FFI-200s,TIC,328468855,64,FFI,200s,0.015838088,328468855,5856567140866125440,,1.862,UCL/LCC,16.0,Rebull_2022,Rebull,2022,0,0,0,0,Double dipper?,one
28,TIC-435899024-11-FFI-30min,TIC,435899024,11,FFI,30min,0.040001989,435899024,5861945711251717888,,0.3634,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,0,0,,one
28,TIC-435899024-38-FFI-10min,TIC,435899024,38,FFI,10min,0.035267993,435899024,5861945711251717888,,0.3634,UCL/LCC,16.0,Stauffer_2021,Stauffer,2021,2,0,1,1,,one
