pop_id,lcname,idtype,ID,secorcamp,author_x,cadence,fluxamplitude,TIC,gaiadr3_source_id,epic_id,per,per2,group,age_Myr,disco_paper,author_y,year,calc_per
17,EPIC-204367193-2-K2SFF-1800,EPIC,204367193,2,K2SFF,1800,0.119295297177484,49198167,6.242649340270425e+18,204367193.0,0.4835,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.4833401046521272
17,TIC-49198167-91-SPOC-120,TIC,49198167,91,SPOC,120,0.7244858086109163,49198167,6.242649340270425e+18,204367193.0,0.4835,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.1611461717362071
17,EPIC-204367193-2-EVEREST-1800,EPIC,204367193,2,EVEREST,1800,0.0562763018512975,49198167,6.242649340270425e+18,204367193.0,0.4835,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,4.937089817969705
18,TIC-49518818-91-SPOC-120,TIC,49518818,91,SPOC,120,0.0498831927776336,49518818,6.245595108015534e+18,205110559.0,0.4031,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.4031005963421227
18,EPIC-205110559-2-K2SFF-1800,EPIC,205110559,2,K2SFF,1800,0.0405889288701812,49518818,6.245595108015534e+18,205110559.0,0.4031,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.4029071869281641
18,EPIC-205110559-2-EVEREST-1800,EPIC,205110559,2,EVEREST,1800,0.1199015566497809,49518818,6.245595108015534e+18,205110559.0,0.4031,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,3.755723554978234
19,EPIC-204918279-2-EVEREST-1800,EPIC,204918279,2,EVEREST,1800,0.0206363705109737,220765024,6.246944689821249e+18,204918279.0,0.4665,0.4594,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,3.5841952259691916
19,EPIC-204918279-2-K2SFF-1800,EPIC,204918279,2,K2SFF,1800,0.0173583204563547,220765024,6.246944689821249e+18,204918279.0,0.4665,0.4594,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.233157581023375
20,TIC-9669706-91-SPOC-120,TIC,9669706,91,SPOC,120,0.1072106182575225,9669706,6.24708312521043e+18,204897050.0,0.2639,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.2637319269803111
20,EPIC-204897050-2-EVEREST-1800,EPIC,204897050,2,EVEREST,1800,0.0921318652108356,9669706,6.24708312521043e+18,204897050.0,0.2639,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.2637966821413526
20,EPIC-204897050-2-K2SFF-1800,EPIC,204897050,2,K2SFF,1800,0.0866023790049843,9669706,6.24708312521043e+18,204897050.0,0.2639,,Upper Scorpius,10.0,Stauffer_2017,Stauffer,2017,0.2638011703810125
21,TIC-280945693-10-FFI-30min,TIC,280945693,10,FFI,30min,1.5719435973572082,280945693,5.234117008292639e+18,,0.6363,,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,0.1688246726686497
21,TIC-280945693-11-SPOC-120,TIC,280945693,11,SPOC,120,0.0457725167274476,280945693,5.234117008292639e+18,,0.6363,,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,0.6378214992093244
21,TIC-280945693-37-SPOC-120,TIC,280945693,37,SPOC,120,0.0475259006023407,280945693,5.234117008292639e+18,,0.6363,,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,0.63501090991958
21,TIC-280945693-38-SPOC-120,TIC,280945693,38,SPOC,120,0.0493698000907898,280945693,5.234117008292639e+18,,0.6363,,Lower Centaurus-Crux,16.0,Stauffer_2021,Stauffer,2021,0.63653366207558
